statute_id,type,year,has_enacted,has_consolidated,n_effects,n_effect_feed_pages,enacted_url,current_url,enacted_source_status,oracle_source_status,enacted_source_size,oracle_source_size,enacted_source_sha256,oracle_source_sha256
ukpga/1866/55,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/55/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/55/data.xml,available,available,2397,2397,688abd775ad15e1a99f2919aa4b3a8ac526201471c5e01c4b0d634cf139809e1,688abd775ad15e1a99f2919aa4b3a8ac526201471c5e01c4b0d634cf139809e1
ukpga/1866/56,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/56/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/56/data.xml,available,available,2410,2410,35eed17213a51b0aaaef02d27b0f2aa956b806902046d80f85158e3996dcd8b3,35eed17213a51b0aaaef02d27b0f2aa956b806902046d80f85158e3996dcd8b3
ukpga/1866/57,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/57/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/57/data.xml,available,available,2485,2485,7056ee670962c1c3ba891e7d23dc306eb1f8ad043a4b16f038a4063fa1fccd52,7056ee670962c1c3ba891e7d23dc306eb1f8ad043a4b16f038a4063fa1fccd52
ukpga/1866/58,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/58/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/58/data.xml,available,available,2402,2402,4a42b26289e87d99d4f36024cc5cc914eaf765714d87ab32f20664afceb1a92f,4a42b26289e87d99d4f36024cc5cc914eaf765714d87ab32f20664afceb1a92f
ukpga/1866/59,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/59/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/59/data.xml,available,available,2469,2469,18dec99e27ce0de3b4fd110d9b571e091a52550da65bd094f2e19feb199e20c2,18dec99e27ce0de3b4fd110d9b571e091a52550da65bd094f2e19feb199e20c2
ukpga/1866/6,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/6/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/6/data.xml,available,available,2591,2591,32587d092133d4e77a82ea004cb2837935024e5b2a72e131115e4de1a1fba5b0,32587d092133d4e77a82ea004cb2837935024e5b2a72e131115e4de1a1fba5b0
ukpga/1866/60,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/60/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/60/data.xml,available,available,2723,2723,829ba59fdf422193635450e8899dacebfcf15c074c3e7e7bda40254c0d3336ff,829ba59fdf422193635450e8899dacebfcf15c074c3e7e7bda40254c0d3336ff
ukpga/1866/61,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/61/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/61/data.xml,available,available,2421,2421,602e05f1782f35fd4a8cf8055643796b214d7b041831d1e8121003cb38cb2cdb,602e05f1782f35fd4a8cf8055643796b214d7b041831d1e8121003cb38cb2cdb
ukpga/1866/62,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/62/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/62/data.xml,available,available,2376,2376,b0cc227457c7e1d41f30b2a34b79380edf5e653c71dd8c8f10a9a877ee0a1d33,b0cc227457c7e1d41f30b2a34b79380edf5e653c71dd8c8f10a9a877ee0a1d33
ukpga/1866/63,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/63/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/63/data.xml,available,available,2382,2382,ac61e4226dafeae446afaf0faa42da7a107cf49145167bb3429b63df202d9af4,ac61e4226dafeae446afaf0faa42da7a107cf49145167bb3429b63df202d9af4
ukpga/1866/64,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/64/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/64/data.xml,available,available,2408,2408,b11a36ab0847efd760501c71a050a115d13f686d55242792a9f12b8b41aa4c9a,b11a36ab0847efd760501c71a050a115d13f686d55242792a9f12b8b41aa4c9a
ukpga/1866/65,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/65/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/65/data.xml,available,available,2385,2385,00f223e729bc5cf1ae8900def2bf280682c86fd1c302218f4b10e2847a02d868,00f223e729bc5cf1ae8900def2bf280682c86fd1c302218f4b10e2847a02d868
ukpga/1866/66,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/66/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/66/data.xml,available,available,2380,2380,04389c46167e8daef60ba9f7cdb86c7ef3584a865a10726b3d5bafe92a49d324,04389c46167e8daef60ba9f7cdb86c7ef3584a865a10726b3d5bafe92a49d324
ukpga/1866/67,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/67/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/67/data.xml,available,available,2381,2381,b99e2f576e1442b510f338ae595a08c93d4cc55b752e113d68d2d0eeff91bce1,b99e2f576e1442b510f338ae595a08c93d4cc55b752e113d68d2d0eeff91bce1
ukpga/1866/68,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/68/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/68/data.xml,available,available,2379,2379,3ae141405734eed532f3c401d960445be9ba1005f4b1ddf0129933161ca52645,3ae141405734eed532f3c401d960445be9ba1005f4b1ddf0129933161ca52645
ukpga/1866/69,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/69/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/69/data.xml,available,available,2404,2404,24d967186eff369d834d569002fa8f4ec5600f98cd3b97fb122b6162acc214d0,24d967186eff369d834d569002fa8f4ec5600f98cd3b97fb122b6162acc214d0
ukpga/1866/7,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/7/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/7/data.xml,available,available,2452,2452,5e2d59f236e9f4b646ea997fe7c65d2606ceba9ac79f436ac5069604a5cae571,5e2d59f236e9f4b646ea997fe7c65d2606ceba9ac79f436ac5069604a5cae571
ukpga/1866/70,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/70/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/70/data.xml,available,available,2638,2638,b668fdde2769079da8ef2554c7aafc9391852a8aab1215456b81a478eb7a58a7,b668fdde2769079da8ef2554c7aafc9391852a8aab1215456b81a478eb7a58a7
ukpga/1866/71,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/71/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/71/data.xml,available,available,31937,18852,c80fc2f142841e6265b3bd4821926d60f2fa2c8d792ddb4110be97ccf7c50608,e64d10894bde29b3bc7a6a94eb7cbdd7ea9b9cd51ba22b83e54edf3a619716be
ukpga/1866/72,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/72/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/72/data.xml,available,available,2652,2652,9a396ac6675d1c66e9af2cfed0e62c82567b6cd8a1feeb68a55e663c2a215415,9a396ac6675d1c66e9af2cfed0e62c82567b6cd8a1feeb68a55e663c2a215415
ukpga/1866/73,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/73/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/73/data.xml,available,available,2387,2387,eb3aca267a10cd1d64f26cb6830a48f944b7812f63c95d46c44b2253d92a83bc,eb3aca267a10cd1d64f26cb6830a48f944b7812f63c95d46c44b2253d92a83bc
ukpga/1866/74,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/74/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/74/data.xml,available,available,2461,2461,051ad999ab8fc0012ea74d632e1a35f493effa6a01b033ee5ad6279f38575b45,051ad999ab8fc0012ea74d632e1a35f493effa6a01b033ee5ad6279f38575b45
ukpga/1866/75,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/75/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/75/data.xml,available,available,11330,11004,1833ead89af5b656fa5b50056f2d4f0a7f4bdf98170e05f16a673475317f2a76,45e1a5a313e3c391841e1d4dd3686640dc7970b80978eaf2b9f239de96b4d376
ukpga/1866/76,ukpga,1866,True,True,1,1,https://www.legislation.gov.uk/ukpga/1866/76/enacted/data.xml,https://www.legislation.gov.uk/ukpga/1866/76/data.xml,available,available,2384,2384,a5b8be82bee39dc83d278ba7e35d668bec9d788a7c35afe48940ac4853f266cd,a5b8be82bee39dc83d278ba7e35d668bec9d788a7c35afe48940ac4853f266cd
