work_id,work_type,year,n_amendment_operations,n_history_witnesses,operation_families,latest_version_id
act_public_1988_110,act_public,2026,311,311,added:1;amended:213;inserted:45;repealed:26;replaced:23;substituted:3,act_public_1988_110_en_2026-01-24
act_public_1988_111,act_public,2007,90,90,amended:13;inserted:7;repealed:59;substituted:11,act_public_1988_111_en_2007-11-29
act_public_1988_112,act_public,2025,54,54,amended:9;inserted:1;repealed:43;replaced:1,act_public_1988_112_en_2025-11-13
act_public_1988_119,act_public,2021,1,1,repealed:1,act_public_1988_119_en_2021-01-30
act_public_1988_122,act_public,2012,1,1,repealed:1,act_public_1988_122_en_2012-08-31
act_public_1988_126,act_public,2025,32,32,added:1;amended:13;inserted:3;repealed:9;replaced:2;substituted:4,act_public_1988_126_en_2025-11-13
act_public_1988_128,act_public,2017,38,38,amended:7;brought into force:8;repealed:21;substituted:2,act_public_1988_128_en_2017-06-03
act_public_1988_140,act_public,2008,1,1,repealed:1,act_public_1988_140_en_2008-08-01
act_public_1988_141,act_public,2012,4,4,amended:2;repealed:2,act_public_1988_141_en_2012-08-31
act_public_1988_144,act_public,2017,1,1,repealed:1,act_public_1988_144_en_2017-06-03
act_public_1988_154,act_public,2012,4,4,brought into force:2;repealed:2,act_public_1988_154_en_2012-08-31
act_public_1988_155,act_public,2024,184,184,added:4;amended:75;inserted:74;repealed:13;replaced:8;substituted:10,act_public_1988_155_en_2024-05-01
act_public_1988_156,act_public,2017,11,11,__missing__:7;__unclassified__:1;repealed:3,act_public_1988_156_en_2017-06-03
act_public_1988_157,act_public,2021,62,62,added:1;amended:12;brought into force:1;inserted:25;repealed:6;replaced:3;substituted:14,act_public_1988_157_en_2021-10-28
act_public_1988_158,act_public,2019,186,186,added:1;amended:68;inserted:85;repealed:13;replaced:6;substituted:13,act_public_1988_158_en_2019-07-31
act_public_1988_159,act_public,2023,26,26,amended:10;inserted:7;repealed:5;substituted:4,act_public_1988_159_en_2023-04-05
act_public_1988_167,act_public,2015,1,1,repealed:1,act_public_1988_167_en_2015-10-21
act_public_1988_172,act_public,2021,5,5,amended:2;inserted:1;repealed:1;substituted:1,act_public_1988_172_en_2021-10-28
act_public_1988_178,act_public,2010,1,1,repealed:1,act_public_1988_178_en_2010-06-01
act_public_1988_19,act_public,2021,2,2,amended:1;inserted:1,act_public_1988_19_en_2021-10-28
act_public_1988_2,act_public,2025,99,99,added:17;amended:37;brought into force:1;inserted:15;repealed:15;substituted:14,act_public_1988_2_en_2025-11-27
act_public_1988_20,act_public,2020,470,470,amended:134;inserted:98;repealed:154;replaced:37;substituted:47,act_public_1988_20_en_2020-08-07
act_public_1988_228,act_public,2011,1,1,repealed:1,act_public_1988_228_en_2011-09-16
act_public_1988_229,act_public,2022,10,10,added:1;amended:4;repealed:4;substituted:1,act_public_1988_229_en_2022-09-28
act_public_1988_230,act_public,2017,2,2,repealed:2,act_public_1988_230_en_2017-03-21
act_public_1988_231,act_public,2011,1,1,repealed:1,act_public_1988_231_en_2011-09-16
act_public_1988_234,act_public,2014,737,737,added:12;amended:228;brought into force:1;inserted:279;repealed:121;replaced:6;substituted:90,act_public_1988_234_en_2014-12-01
act_public_1988_4,act_public,2026,313,313,__unclassified__:2;added:9;amended:162;inserted:80;repealed:9;replaced:16;substituted:35,act_public_1988_4_en_2026-04-01
act_public_1988_42,act_public,2018,2,2,amended:2,act_public_1988_42_en_2018-11-12
act_public_1988_5,act_public,2016,45,45,added:2;amended:10;inserted:3;repealed:23;substituted:7,act_public_1988_5_en_2016-03-01
act_public_1988_91,act_public,2022,55,55,added:4;amended:17;inserted:10;repealed:4;replaced:7;substituted:13,act_public_1988_91_en_2022-11-30
act_public_1988_95,act_public,2012,11,11,amended:8;repealed:1;substituted:2,act_public_1988_95_en_2012-08-31
act_public_1989_1,act_public,2008,16,16,__missing__:1;__unclassified__:1;amended:4;inserted:3;repealed:4;substituted:3,act_public_1989_1_en_2008-04-01
act_public_1989_10,act_public,2014,210,210,added:17;amended:92;inserted:38;repealed:44;replaced:1;substituted:18,act_public_1989_10_en_2014-12-01
