grupi_id,base_id,oracle_id,n_amendments,schema,base_effective,oracle_effective,pair_index,redaction_count,title
1011889,106032014004,121062014051,244,tyviseadus,2014-03-07,2014-07-01,1,8,Kaitseliidu seadus
1011889,121062014051,121062014052,244,tyviseadus,2014-07-01,2014-10-01,2,8,Kaitseliidu seadus
1011889,121062014052,116062016009,244,tyviseadus,2014-10-01,2016-07-01,3,8,Kaitseliidu seadus
1011889,116062016009,116062016010,244,tyviseadus,2016-07-01,2017-01-01,4,8,Kaitseliidu seadus
1011889,116062016010,120042018006,244,tyviseadus,2017-01-01,2018-05-01,5,8,Kaitseliidu seadus
1011889,120042018006,130042024003,244,tyviseadus,2018-05-01,2024-07-01,6,8,Kaitseliidu seadus
1011889,130042024003,103022026010,244,tyviseadus,2024-07-01,2026-02-04,7,8,Kaitseliidu seadus
1013729,110112015012,103122015007,220,tyviseadus,2015-12-01,2016-01-01,1,12,Tööstusheite seadus
1013729,103122015007,125052017007,220,tyviseadus,2016-01-01,2017-06-04,2,12,Tööstusheite seadus
1013729,125052017007,125052017008,220,tyviseadus,2017-06-04,2017-07-01,3,12,Tööstusheite seadus
1013729,125052017008,112122018073,220,tyviseadus,2017-07-01,2019-01-01,4,12,Tööstusheite seadus
1013729,112122018073,121122019016,220,tyviseadus,2019-01-01,2020-01-01,5,12,Tööstusheite seadus
1013729,121122019016,110072020080,220,tyviseadus,2020-01-01,2021-01-01,6,12,Tööstusheite seadus
1013729,110072020080,125102022006,220,tyviseadus,2021-01-01,2022-11-04,7,12,Tööstusheite seadus
1013729,125102022006,121092023004,220,tyviseadus,2022-11-04,2023-07-01,8,12,Tööstusheite seadus
1013729,121092023004,105012024005,220,tyviseadus,2023-07-01,2024-01-15,9,12,Tööstusheite seadus
1013729,105012024005,108072025069,220,tyviseadus,2024-01-15,2025-09-01,10,12,Tööstusheite seadus
1013729,108072025069,107012026026,220,tyviseadus,2025-09-01,2027-01-01,11,12,Tööstusheite seadus
1013770,123122014022,101122015006,112,tyviseadus,2015-01-01,2015-12-11,1,10,Jahiseadus
1013770,101122015006,101122015007,112,tyviseadus,2015-12-11,2016-03-01,2,10,Jahiseadus
1013770,101122015007,109032018013,112,tyviseadus,2016-03-01,2018-07-01,3,10,Jahiseadus
1013770,109032018013,129062018081,112,tyviseadus,2018-07-01,2018-08-01,4,10,Jahiseadus
1013770,129062018081,106072018012,112,tyviseadus,2018-08-01,2019-01-01,5,10,Jahiseadus
1013770,106072018012,110072020091,112,tyviseadus,2019-01-01,2021-01-01,6,10,Jahiseadus
1013770,110072020091,127092023003,112,tyviseadus,2021-01-01,2023-07-01,7,10,Jahiseadus
1013770,127092023003,129052025002,112,tyviseadus,2023-07-01,2025-06-08,8,10,Jahiseadus
1013770,129052025002,128012026004,112,tyviseadus,2025-06-08,2026-02-07,9,10,Jahiseadus
1014831,114032014063,122012018007,296,tyviseadus,2014-07-01,2018-02-01,1,11,Kutseõppeasutuse seadus
1014831,122012018007,116062020007,296,tyviseadus,2018-02-01,2020-08-01,2,11,Kutseõppeasutuse seadus
1014831,116062020007,116062020008,296,tyviseadus,2020-08-01,2022-04-01,3,11,Kutseõppeasutuse seadus
1014831,116062020008,128122022049,296,tyviseadus,2022-04-01,2023-08-01,4,11,Kutseõppeasutuse seadus
1014831,128122022049,126042024006,296,tyviseadus,2023-08-01,2024-05-06,5,11,Kutseõppeasutuse seadus
1014831,126042024006,126042024007,296,tyviseadus,2024-05-06,2024-08-01,6,11,Kutseõppeasutuse seadus
1014831,126042024007,126042024008,296,tyviseadus,2024-08-01,2024-09-01,7,11,Kutseõppeasutuse seadus
1014831,126042024008,123122024003,296,tyviseadus,2024-09-01,2025-09-01,8,11,Kutseõppeasutuse seadus
1014831,123122024003,107012026014,296,tyviseadus,2025-09-01,2026-01-17,9,11,Kutseõppeasutuse seadus
1014831,107012026014,107012026015,296,tyviseadus,2026-01-17,2026-06-01,10,11,Kutseõppeasutuse seadus
1019857,107072015019,122122020049,74,tyviseadus,2016-01-01,2021-01-01,1,3,Vandetõlgi seadus
1019857,122122020049,114032025002,74,tyviseadus,2021-01-01,2025-01-01,2,3,Vandetõlgi seadus
1021902,129062014131,107072017036,300,tyviseadus,2014-07-01,2017-07-17,1,16,Riigieelarve seadus
1021902,107072017036,107072017037,300,tyviseadus,2017-07-17,2017-09-01,2,16,Riigieelarve seadus
1021902,107072017037,107072017038,300,tyviseadus,2017-09-01,2018-01-01,3,16,Riigieelarve seadus
1021902,107072017038,107072017039,300,tyviseadus,2018-01-01,2019-01-01,4,16,Riigieelarve seadus
1021902,107072017039,107072017040,300,tyviseadus,2019-01-01,2019-05-01,5,16,Riigieelarve seadus
1021902,107072017040,107072017041,300,tyviseadus,2019-05-01,2020-01-01,6,16,Riigieelarve seadus
1021902,107072017041,117042021004,300,tyviseadus,2020-01-01,2021-04-18,7,16,Riigieelarve seadus
1021902,117042021004,130112022004,300,tyviseadus,2021-04-18,2022-12-10,8,16,Riigieelarve seadus
1021902,130112022004,122122023012,300,tyviseadus,2022-12-10,2024-01-01,9,16,Riigieelarve seadus
1021902,122122023012,128052024003,300,tyviseadus,2024-01-01,2024-06-07,10,16,Riigieelarve seadus
1021902,128052024003,128112024003,300,tyviseadus,2024-06-07,2024-11-29,11,16,Riigieelarve seadus
1021902,128112024003,130042025004,300,tyviseadus,2024-11-29,2025-01-01,12,16,Riigieelarve seadus
1021902,130042025004,119122025002,300,tyviseadus,2025-01-01,2025-12-29,13,16,Riigieelarve seadus
1021902,119122025002,119122025003,300,tyviseadus,2025-12-29,2026-03-01,14,16,Riigieelarve seadus
1021902,119122025003,119122025004,300,tyviseadus,2026-03-01,2027-01-01,15,16,Riigieelarve seadus
1021904,123052020005,109102020005,102,tyviseadus,2020-05-24,2020-12-01,1,3,Korteriomandi- ja korteriühistuseadus
1021904,109102020005,123122022004,102,tyviseadus,2020-12-01,2024-01-15,2,3,Korteriomandi- ja korteriühistuseadus
1022238,103022011002,103022011003,256,tyviseadus,2011-02-13,2012-01-01,1,5,Perioodi 2007–2013 struktuuritoetuse seadus
1022238,103022011003,130062015052,256,tyviseadus,2012-01-01,2015-09-01,2,5,Perioodi 2007–2013 struktuuritoetuse seadus
1022238,130062015052,106072018008,256,tyviseadus,2015-09-01,2018-09-01,3,5,Perioodi 2007–2013 struktuuritoetuse seadus
1022238,106072018008,128122018039,256,tyviseadus,2018-09-01,2019-01-01,4,5,Perioodi 2007–2013 struktuuritoetuse seadus
1022833,104072017127,131032022006,230,tyviseadus,2017-09-01,2022-04-01,1,3,Liikluskindlustuse seadus
1022833,131032022006,129062024012,230,tyviseadus,2022-04-01,2025-01-01,2,3,Liikluskindlustuse seadus
1024724,130062015053,125112015006,136,tyviseadus,2015-09-01,2015-12-05,1,6,Perioodi 2014–2020 struktuuritoetuse seadus
1024724,125112015006,107122018025,136,tyviseadus,2015-12-05,2018-12-17,2,6,Perioodi 2014–2020 struktuuritoetuse seadus
1024724,107122018025,108072020005,136,tyviseadus,2018-12-17,2020-07-18,3,6,Perioodi 2014–2020 struktuuritoetuse seadus
1024724,108072020005,102062021021,136,tyviseadus,2020-07-18,2021-07-01,4,6,Perioodi 2014–2020 struktuuritoetuse seadus
1024724,102062021021,130062023054,136,tyviseadus,2021-07-01,2023-07-01,5,6,Perioodi 2014–2020 struktuuritoetuse seadus
1024943,101032017006,101032017007,148,tyviseadus,2017-03-11,2017-10-10,1,6,Meretöö seadus
1024943,101032017007,103012020006,148,tyviseadus,2017-10-10,2020-01-13,2,6,Meretöö seadus
1024943,103012020006,110122020021,148,tyviseadus,2020-01-13,2021-01-01,3,6,Meretöö seadus
1024943,110122020021,118032022002,148,tyviseadus,2021-01-01,2022-03-28,4,6,Meretöö seadus
1024943,118032022002,128012026006,148,tyviseadus,2022-03-28,2026-02-07,5,6,Meretöö seadus
1026883,125112016003,119022021003,156,tyviseadus,2016-12-05,2021-03-01,1,4,Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus
1026883,119022021003,105022022002,156,tyviseadus,2021-03-01,2022-02-15,2,4,Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus
1026883,105022022002,122032022003,156,tyviseadus,2022-02-15,2022-11-15,3,4,Euroopa Liidu ühise põllumajanduspoliitika rakendamise seadus
1026884,111122015002,110112017008,112,tyviseadus,2015-12-21,2017-11-20,1,5,Kalandusturu korraldamise seadus
1026884,110112017008,110072020094,112,tyviseadus,2017-11-20,2021-01-01,2,5,Kalandusturu korraldamise seadus
1026884,110072020094,122052021004,112,tyviseadus,2021-01-01,2021-06-01,3,5,Kalandusturu korraldamise seadus
1026884,122052021004,102062021019,112,tyviseadus,2021-06-01,2021-07-01,4,5,Kalandusturu korraldamise seadus
1026887,121122016024,106082022029,126,tyviseadus,2017-01-01,2022-08-16,1,4,Lastekaitseseadus
1026887,106082022029,106082022030,126,tyviseadus,2022-08-16,2022-10-01,2,4,Lastekaitseseadus
1026887,106082022030,131122024023,126,tyviseadus,2022-10-01,2025-01-10,3,4,Lastekaitseseadus
1027098,124122016017,124122016018,217,tyviseadus,2016-12-31,2017-01-01,1,17,Töövõimetoetuse seadus
1027098,124122016018,129062017002,217,tyviseadus,2017-01-01,2017-07-09,2,17,Töövõimetoetuse seadus
1027098,129062017002,128112017031,217,tyviseadus,2017-07-09,2018-01-01,3,17,Töövõimetoetuse seadus
1027098,128112017031,110012019029,217,tyviseadus,2018-01-01,2019-01-20,4,17,Töövõimetoetuse seadus
1027098,110012019029,121042020058,217,tyviseadus,2019-01-20,2020-04-22,5,17,Töövõimetoetuse seadus
1027098,121042020058,104032022008,217,tyviseadus,2020-04-22,2022-03-05,6,17,Töövõimetoetuse seadus
1027098,104032022008,102122022014,217,tyviseadus,2022-03-05,2022-12-12,7,17,Töövõimetoetuse seadus
1027098,102122022014,102122022015,217,tyviseadus,2022-12-12,2023-06-30,8,17,Töövõimetoetuse seadus
1027098,102122022015,130062023093,217,tyviseadus,2023-06-30,2023-07-01,9,17,Töövõimetoetuse seadus
1027098,130062023093,102052024030,217,tyviseadus,2023-07-01,2024-05-15,10,17,Töövõimetoetuse seadus
1027098,102052024030,103062025021,217,tyviseadus,2024-05-15,2025-06-13,11,17,Töövõimetoetuse seadus
1027098,103062025021,112062025017,217,tyviseadus,2025-06-13,2025-06-22,12,17,Töövõimetoetuse seadus
1027098,112062025017,126062025031,217,tyviseadus,2025-06-22,2025-06-27,13,17,Töövõimetoetuse seadus
1027098,126062025031,126062025032,217,tyviseadus,2025-06-27,2025-09-01,14,17,Töövõimetoetuse seadus
1027098,126062025032,126062025033,217,tyviseadus,2025-09-01,2026-01-01,15,17,Töövõimetoetuse seadus
1027098,126062025033,126062025034,217,tyviseadus,2026-01-01,2027-02-01,16,17,Töövõimetoetuse seadus
1027366,109022016002,131032017002,156,tyviseadus,2016-02-10,2017-04-01,1,7,Maksualase teabevahetuse seadus
1027366,131032017002,107122018014,156,tyviseadus,2017-04-01,2018-12-17,2,7,Maksualase teabevahetuse seadus
1027366,107122018014,121122019024,156,tyviseadus,2018-12-17,2020-01-01,3,7,Maksualase teabevahetuse seadus
1027366,121122019024,124112020007,156,tyviseadus,2020-01-01,2020-12-04,4,7,Maksualase teabevahetuse seadus
1027366,124112020007,102052024009,156,tyviseadus,2020-12-04,2024-05-12,5,7,Maksualase teabevahetuse seadus
1027366,102052024009,113022026011,156,tyviseadus,2024-05-12,2029-03-31,6,7,Maksualase teabevahetuse seadus
1027446,130062015056,130062015057,398,tyviseadus,2015-09-01,2015-10-01,1,66,Riigilõivuseadus
1027446,130062015057,110112015010,398,tyviseadus,2015-10-01,2015-12-01,2,66,Riigilõivuseadus
1027446,110112015010,131122015035,398,tyviseadus,2015-12-01,2016-01-01,3,66,Riigilõivuseadus
1027446,131122015035,131122015036,398,tyviseadus,2016-01-01,2016-01-18,4,66,Riigilõivuseadus
1027446,131122015036,131122015037,398,tyviseadus,2016-01-18,2016-02-01,5,66,Riigilõivuseadus
1027446,131122015037,125102016023,398,tyviseadus,2016-02-01,2016-10-26,6,66,Riigilõivuseadus
1027446,125102016023,125102016024,398,tyviseadus,2016-10-26,2016-11-01,7,66,Riigilõivuseadus
1027446,125102016024,115122016005,398,tyviseadus,2016-11-01,2017-01-01,8,66,Riigilõivuseadus
1027446,115122016005,128122016015,398,tyviseadus,2017-01-01,2017-01-07,9,66,Riigilõivuseadus
1027446,128122016015,103012017019,398,tyviseadus,2017-01-07,2017-01-17,10,66,Riigilõivuseadus
1027446,103012017019,103012017020,398,tyviseadus,2017-01-17,2017-02-01,11,66,Riigilõivuseadus
1027446,103012017020,109032017003,398,tyviseadus,2017-02-01,2017-03-19,12,66,Riigilõivuseadus
1027446,109032017003,128032017009,398,tyviseadus,2017-03-19,2017-04-07,13,66,Riigilõivuseadus
1027446,128032017009,109052017031,398,tyviseadus,2017-04-07,2017-07-01,14,66,Riigilõivuseadus
1027446,109052017031,107032018003,398,tyviseadus,2017-07-01,2018-03-15,15,66,Riigilõivuseadus
1027446,107032018003,107032018004,398,tyviseadus,2018-03-15,2018-06-01,16,66,Riigilõivuseadus
1027446,107032018004,129112018006,398,tyviseadus,2018-06-01,2018-12-25,17,66,Riigilõivuseadus
1027446,129112018006,101022019012,398,tyviseadus,2018-12-25,2019-02-16,18,66,Riigilõivuseadus
1027446,101022019012,104122019023,398,tyviseadus,2019-02-16,2019-12-14,19,66,Riigilõivuseadus
1027446,104122019023,104122019024,398,tyviseadus,2019-12-14,2020-01-01,20,66,Riigilõivuseadus
1027446,104122019024,131122019006,398,tyviseadus,2020-01-01,2020-01-06,21,66,Riigilõivuseadus
