amendments,statute_id,bucket,reason,detail,last_status
3,2011/1036,suspect,oracle_suspect,2013/637 eff 2013-09-01 > cutoff 2013-08-27,
3,2011/1169,core,,,OK
3,2011/117,suspect,oracle_suspect,2021/1239 eff 2022-01-01 > cutoff 2021-12-22,
3,2011/121,suspect,oracle_suspect,2025/815 eff 2026-01-01 > cutoff 2025-06-27,
3,2011/1258,suspect,oracle_suspect,2019/1247 eff 2019-12-14 > cutoff 2019-12-12,
3,2011/1351,suspect,oracle_suspect,2015/1131 eff 2015-08-17 > cutoff 2015-06-23,
3,2011/171,suspect,oracle_suspect,2020/264 eff 2020-05-01 > cutoff 2020-04-16,
3,2011/401,suspect,oracle_suspect,2018/1207 eff 2019-01-01 > cutoff 2018-12-19,
3,2011/634,suspect,oracle_suspect,2015/498 eff 2015-12-01 > cutoff 2015-04-24,
3,2012/100,suspect,oracle_suspect,2023/234 eff 2023-03-01 > cutoff 2023-02-16,
3,2012/1020,core,,,OK
3,2012/12,suspect,oracle_suspect,2025/376 eff 2025-07-01 > cutoff 2025-06-27,
3,2012/625,suspect,oracle_suspect,2024/1035 eff 2025-01-01 > cutoff 2024-12-19,
3,2012/657,suspect,oracle_suspect,2023/321 eff 2024-01-01 > cutoff 2023-03-03,
3,2012/750,suspect,oracle_suspect,2021/244 eff 2021-04-01 > cutoff 2021-03-26,
3,2012/825,suspect,oracle_suspect,2019/1258 eff 2020-01-01 > cutoff 2019-12-12,
3,2012/869,suspect,oracle_suspect,2024/758 eff 2025-01-01 > cutoff 2024-12-05,
3,2013/1233,suspect,oracle_suspect,2023/409 eff 2025-01-01 > cutoff 2023-03-23,
3,2013/151,core,,,OK
3,2013/166,suspect,oracle_suspect,2017/659 eff 2017-10-05 > cutoff 2017-09-28,
3,2013/190,suspect,oracle_suspect,2025/1310 eff 2026-01-01 > cutoff 2025-12-18,
3,2013/23,suspect,oracle_suspect,2024/76 eff 2024-02-17 > cutoff 2024-02-13,
3,2013/30,core,,,OK
3,2013/309,core,,,OK
3,2013/414,suspect,oracle_suspect,2021/48 eff 2021-01-19 > cutoff 2021-01-15,
3,2013/452,core,,,OK
3,2013/564,suspect,oracle_suspect,2025/1289 eff 2026-01-01 > cutoff 2025-12-18,
3,2013/612,core,,,OK
3,2013/614,suspect,oracle_suspect,2014/1012 eff 2014-12-12 > cutoff 2014-11-13,
3,2013/967,suspect,oracle_suspect,2022/1003 eff 2022-12-15 > cutoff 2022-12-09,
3,2014/1244,suspect,oracle_suspect,2021/1036 eff 2021-12-01 > cutoff 2021-11-25,
3,2014/1270,suspect,oracle_suspect,2018/1185 eff 2019-01-01 > cutoff 2018-12-19,
3,2014/132,suspect,oracle_suspect,2022/867 eff 2022-11-01 > cutoff 2022-10-27,
3,2014/1325,suspect,oracle_suspect,2024/907 eff 2025-01-01 > cutoff 2024-12-19,
3,2014/1326,core,,,OK
3,2014/1327,notruth,no_truth_from_run,,NO_TRUTH
3,2014/1354,suspect,oracle_suspect,2025/777 eff 2026-01-01 > cutoff 2025-06-27,
3,2014/1387,suspect,oracle_suspect,2020/1267 eff 2021-01-01 > cutoff 2020-12-30,
3,2014/445,core,,,OK
3,2014/519,suspect,oracle_suspect,2021/1026 eff 2021-12-01 > cutoff 2021-11-25,
3,2014/835,suspect,oracle_suspect,2017/137 eff 2017-08-01 > cutoff 2017-02-08,
3,2014/9,suspect,oracle_suspect,2018/765 eff 2018-09-01 > cutoff 2018-08-24,
3,2015/124,suspect,oracle_suspect,2018/1208 eff 2019-01-01 > cutoff 2018-12-19,
3,2015/1384,suspect,oracle_suspect,2021/1147 eff 2022-01-01 > cutoff 2021-12-16,
3,2015/1712,suspect,oracle_suspect,2022/257 eff 2022-04-11 > cutoff 2022-04-01,
3,2015/180,suspect,oracle_suspect,2023/551 eff 2023-09-01 > cutoff 2023-03-23,
3,2015/315,suspect,oracle_suspect,2022/359 eff 2022-06-01 > cutoff 2022-05-20,
3,2015/351,core,,,OK
3,2015/364,core,,,OK
3,2015/487,suspect,oracle_suspect,2020/337 eff 2020-06-01 > cutoff 2020-05-08,
3,2015/550,suspect,oracle_suspect,2025/1171 eff 2026-01-01 > cutoff 2025-12-11,
3,2015/551,suspect,oracle_suspect,base_oracle_only despite amendment 2019/1088 eff 2020-01-01 <= cutoff 2022-06-30,OK
3,2015/64,suspect,oracle_suspect,2018/167 eff 2018-03-15 > cutoff 2018-03-08,
3,2015/684,core,,,OK
3,2015/685,suspect,oracle_suspect,2025/1191 eff 2026-01-01 > cutoff 2025-12-11,
3,2015/712,core,,,OK
3,2015/819,suspect,oracle_suspect,2025/1187 eff 2026-01-01 > cutoff 2025-12-11,
3,2016/1356,suspect,oracle_suspect,base_oracle_only despite amendment 2021/1279 eff 2022-01-01 <= cutoff 2023-06-01,OK
3,2016/1522,suspect,oracle_suspect,2025/1401 eff 2026-01-01 > cutoff 2025-12-22,
3,2016/258,core,,,OK
3,2016/264,suspect,oracle_suspect,base_oracle_only despite amendment 2021/1241 eff 2022-01-01 <= cutoff 2022-08-04,OK
3,2016/276,core,,,OK
3,2016/471,suspect,oracle_suspect,2022/793 eff 2023-01-01 > cutoff 2022-08-26,
3,2016/591,core,,,OK
3,2016/730,suspect,oracle_suspect,2021/86 eff 2021-03-01 > cutoff 2021-01-15,
3,2016/770,suspect,oracle_suspect,base_oracle_only despite amendment 2018/35 eff 2019-11-01 <= cutoff 2022-12-20,OK
3,2016/853,suspect,oracle_suspect,2020/882 eff 2020-12-01 > cutoff 2020-11-27,
3,2017/1146,suspect,oracle_suspect,2025/149 eff 2025-05-01 > cutoff 2025-04-04,
3,2017/1147,core,,,OK
3,2017/120,suspect,oracle_suspect,base_oracle_only despite amendment 2020/61 eff 2020-02-15 <= cutoff 2024-12-12,OK
3,2017/211,suspect,oracle_suspect,2025/967 eff 2026-01-01 > cutoff 2025-11-06,
3,2017/277,suspect,oracle_suspect,2025/1253 eff 2026-01-01 > cutoff 2025-12-18,
3,2017/430,core,,,OK
3,2017/530,core,,,OK
3,2017/583,suspect,oracle_suspect,2025/890 eff 2025-10-01 > cutoff 2025-09-22,
3,2017/908,suspect,oracle_suspect,base_oracle_only despite amendment 2020/210 eff 2020-04-09 <= cutoff 2025-05-23,OK
3,2017/922,suspect,oracle_suspect,2024/355 eff 2024-07-01 > cutoff 2024-06-13,
3,2018/1146,core,,,OK
3,2018/1329,suspect,oracle_suspect,2024/564 eff 2024-11-01 > cutoff 2024-10-25,
3,2018/371,suspect,oracle_suspect,2025/670 eff 2026-01-01 > cutoff 2025-06-27,
3,2018/411,suspect,oracle_suspect,2025/727 eff 2026-01-01 > cutoff 2025-06-27,
3,2018/490,suspect,oracle_suspect,2022/405 expires 2022-12-31 < cutoff 2023-12-14,OK
3,2018/508,core,,,OK
3,2018/509,suspect,oracle_suspect,2025/1023 eff 2026-01-01 > cutoff 2025-11-20,
3,2019/1101,suspect,oracle_suspect,2025/916 eff 2025-11-01 > cutoff 2025-10-02,
3,2019/1110,suspect,oracle_suspect,2025/633 eff 2026-01-01 > cutoff 2025-06-27,
3,2019/1156,suspect,oracle_suspect,2025/984 eff 2026-06-01 > cutoff 2025-11-14,
3,2019/121,suspect,oracle_suspect,2025/96 eff 2025-12-01 > cutoff 2025-03-14,
3,2019/1241,suspect,oracle_suspect,2022/536 eff 2022-07-07 > cutoff 2022-07-01,
3,2019/1286,suspect,oracle_suspect,2025/1208 eff 2026-01-01 > cutoff 2025-12-11,
3,2019/1452,suspect,oracle_suspect,2021/509 eff 2021-07-01 > cutoff 2021-06-14,
3,2019/32,suspect,oracle_suspect,base_oracle_only despite amendment 2019/1233 eff 2019-12-12 <= cutoff 2023-03-23,OK
3,2019/357,core,,,OK
3,2019/418,suspect,oracle_suspect,2025/446 eff 2026-01-01 > cutoff 2025-06-27,
3,2019/502,core,,,OK
3,2019/764,suspect,oracle_suspect,base_oracle_only despite amendment 2021/559 eff 2021-10-01 <= cutoff 2023-04-21,OK
3,2019/782,core,,,OK
3,2019/959,suspect,oracle_suspect,2025/756 eff 2026-01-01 > cutoff 2025-06-27,
3,2020/1263,suspect,oracle_suspect,2025/689 eff 2026-01-01 > cutoff 2025-06-27,
3,2020/184,suspect,oracle_suspect,2025/1132 eff 2026-01-01 > cutoff 2025-12-04,
3,2020/367,core,,,OK
3,2020/369,core,,,OK
3,2020/370,core,,,OK
3,2020/548,suspect,oracle_suspect,base_oracle_only despite amendment 2020/1066 eff 2020-12-17 <= cutoff 2021-12-22,OK
3,2020/605,suspect,oracle_suspect,2023/269 eff 2023-03-06 > cutoff 2023-03-02,
3,2020/733,suspect,oracle_suspect,base_oracle_only despite amendment 2022/987 eff 2022-12-15 <= cutoff 2024-07-05,OK
3,2021/1289,suspect,oracle_suspect,2024/420 eff 2024-06-30 > cutoff 2024-06-28,
3,2021/320,suspect,oracle_suspect,2025/1243 eff 2026-01-01 > cutoff 2025-12-16,
3,2021/325,suspect,oracle_suspect,2025/1240 eff 2026-01-01 > cutoff 2025-12-16,
3,2021/702,core,,,OK
3,2021/758,suspect,oracle_suspect,2025/736 eff 2026-01-01 > cutoff 2025-06-27,
