statute_id,act_type,year,n_effects,n_enacted_eids,n_oracle_eids,n_common,score,status,error
asp/2010/14,asp,2010,4,852,879,852,0.9693,OK,
asp/2010/15,asp,2010,1,52,32,31,0.5962,OK,
asp/2010/16,asp,2010,7,2328,2236,2176,0.9347,OK,
asp/2010/17,asp,2010,7,1571,1713,1437,0.8389,OK,
asp/2010/18,asp,2010,1,145,148,139,0.9392,OK,
asp/2010/2,asp,2010,3,462,722,447,0.6191,OK,
asp/2010/3,asp,2010,3,434,566,432,0.7633,OK,
asp/2010/4,asp,2010,2,62,53,52,0.8387,OK,
asp/2010/5,asp,2010,6,2175,2180,1991,0.9133,OK,
asp/2010/6,asp,2010,1,93,68,65,0.6989,OK,
asp/2010/7,asp,2010,1,14,12,10,0.7143,OK,
asp/2010/8,asp,2010,17,2269,2632,2258,0.8579,OK,
asp/2010/9,asp,2010,1,219,229,219,0.9563,OK,
asp/2011/1,asp,2011,12,2616,2973,2603,0.8755,OK,
asp/2011/10,asp,2011,1,96,117,96,0.8205,OK,
asp/2011/11,asp,2011,2,292,309,292,0.9450,OK,
asp/2011/12,asp,2011,2,208,224,208,0.9286,OK,
asp/2011/13,asp,2011,1,44,45,44,0.9778,OK,
asp/2011/14,asp,2011,1,289,181,175,0.6055,OK,
asp/2011/15,asp,2011,1,176,184,176,0.9565,OK,
asp/2011/16,asp,2011,2,347,355,347,0.9775,OK,
asp/2011/2,asp,2011,3,608,677,608,0.8981,OK,
asp/2011/3,asp,2011,1,197,200,197,0.9850,OK,
asp/2011/4,asp,2011,2,62,53,52,0.8387,OK,
asp/2011/5,asp,2011,2,292,322,292,0.9068,OK,
asp/2011/6,asp,2011,2,452,469,452,0.9638,OK,
asp/2011/7,asp,2011,1,154,172,154,0.8953,OK,
asp/2011/8,asp,2011,3,393,378,354,0.9008,OK,
asp/2011/9,asp,2011,4,1320,1255,1230,0.9318,OK,
asp/2012/1,asp,2012,1,172,0,0,0.0000,OK,
asp/2012/10,asp,2012,1,49,50,49,0.9800,OK,
asp/2012/11,asp,2012,1,51,51,51,1.0000,OK,
asp/2012/2,asp,2012,2,66,57,56,0.8485,OK,
asp/2012/3,asp,2012,1,255,283,255,0.9011,OK,
asp/2012/4,asp,2012,1,49,53,49,0.9245,OK,
asp/2012/5,asp,2012,7,1877,2125,1864,0.8772,OK,
asp/2012/6,asp,2012,1,14,14,14,1.0000,OK,
asp/2012/7,asp,2012,1,35,35,35,1.0000,OK,
asp/2012/8,asp,2012,7,2002,2454,1949,0.7942,OK,
asp/2012/9,asp,2012,3,955,999,955,0.9560,OK,
asp/2013/1,asp,2013,2,219,232,206,0.8879,OK,
asp/2013/10,asp,2013,1,68,73,68,0.9315,OK,
asp/2013/11,asp,2013,12,2167,3103,2145,0.6913,OK,
asp/2013/12,asp,2013,2,258,270,258,0.9556,OK,
asp/2013/13,asp,2013,1,122,0,0,0.0000,OK,
asp/2013/14,asp,2013,1,3046,3437,3046,0.8862,OK,
asp/2013/2,asp,2013,1,22,23,22,0.9565,OK,
asp/2013/3,asp,2013,2,231,250,229,0.9160,OK,
asp/2013/4,asp,2013,2,66,57,56,0.8485,OK,
asp/2013/5,asp,2013,2,694,667,616,0.8876,OK,
asp/2013/6,asp,2013,1,360,381,360,0.9449,OK,
asp/2013/7,asp,2013,2,930,980,930,0.9490,OK,
asp/2013/8,asp,2013,1,39,44,39,0.8864,OK,
asp/2013/9,asp,2013,1,23,25,23,0.9200,OK,
asp/2014/1,asp,2014,2,311,635,302,0.4756,OK,
asp/2014/10,asp,2014,5,1378,1454,1358,0.9340,OK,
asp/2014/11,asp,2014,3,356,0,0,0.0000,OK,
asp/2014/12,asp,2014,4,471,501,467,0.9321,OK,
asp/2014/13,asp,2014,1,19,19,19,1.0000,OK,
asp/2014/14,asp,2014,5,1028,1071,1021,0.9533,OK,
asp/2014/15,asp,2014,1,21,29,21,0.7241,OK,
asp/2014/16,asp,2014,11,2925,2478,2295,0.7846,OK,
asp/2014/17,asp,2014,1,27,28,27,0.9643,OK,
asp/2014/18,asp,2014,7,1851,1958,1833,0.9362,OK,
asp/2014/19,asp,2014,6,776,842,776,0.9216,OK,
asp/2014/2,asp,2014,2,492,476,443,0.9004,OK,
asp/2014/3,asp,2014,4,1324,1448,1269,0.8764,OK,
asp/2014/4,asp,2014,1,16,22,15,0.6818,OK,
asp/2014/5,asp,2014,2,452,487,452,0.9281,OK,
asp/2014/6,asp,2014,2,66,57,56,0.8485,OK,
asp/2014/7,asp,2014,1,47,53,47,0.8868,OK,
asp/2014/8,asp,2014,6,1116,798,689,0.6174,OK,
asp/2014/9,asp,2014,2,734,773,734,0.9495,OK,
asp/2015/1,asp,2015,2,611,679,611,0.8999,OK,
asp/2015/10,asp,2015,3,976,1041,958,0.9203,OK,
asp/2015/11,asp,2015,1,103,109,103,0.9450,OK,
asp/2015/12,asp,2015,2,688,734,688,0.9373,OK,
asp/2015/13,asp,2015,1,16,16,16,1.0000,OK,
asp/2015/2,asp,2015,2,65,56,55,0.8462,OK,
asp/2015/3,asp,2015,1,23,24,23,0.9583,OK,
asp/2015/4,asp,2015,1,63,67,63,0.9403,OK,
asp/2015/5,asp,2015,1,129,131,129,0.9847,OK,
asp/2015/6,asp,2015,5,1705,1721,1653,0.9605,OK,
asp/2015/7,asp,2015,1,169,184,169,0.9185,OK,
asp/2015/8,asp,2015,1,15,15,15,1.0000,OK,
asp/2015/9,asp,2015,2,462,459,458,0.9913,OK,
asp/2016/1,asp,2016,6,1323,1389,1268,0.9129,OK,
asp/2016/10,asp,2016,2,652,754,652,0.8647,OK,
asp/2016/11,asp,2016,1,36,39,36,0.9231,OK,
asp/2016/12,asp,2016,2,65,56,55,0.8462,OK,
asp/2016/13,asp,2016,1,9,7,7,0.7778,OK,
asp/2016/14,asp,2016,1,339,366,339,0.9262,OK,
asp/2016/15,asp,2016,1,219,230,219,0.9522,OK,
asp/2016/16,asp,2016,2,619,653,619,0.9479,OK,
asp/2016/17,asp,2016,1,238,263,238,0.9049,OK,
asp/2016/18,asp,2016,5,1810,1790,1736,0.9591,OK,
asp/2016/19,asp,2016,8,1020,1173,1007,0.8585,OK,
asp/2016/2,asp,2016,2,539,596,537,0.9010,OK,
asp/2016/20,asp,2016,4,1335,1143,1085,0.8127,OK,
asp/2016/21,asp,2016,13,4016,4602,3961,0.8607,OK,
asp/2016/22,asp,2016,2,614,677,614,0.9069,OK,
asp/2016/3,asp,2016,1,91,113,91,0.8053,OK,
asp/2016/4,asp,2016,1,54,54,54,1.0000,OK,
asp/2016/5,asp,2016,1,24,38,24,0.6316,OK,
asp/2016/6,asp,2016,1,11,14,11,0.7857,OK,
asp/2016/7,asp,2016,1,277,292,277,0.9486,OK,
asp/2016/8,asp,2016,4,351,428,349,0.8154,OK,
asp/2016/9,asp,2016,3,455,502,455,0.9064,OK,
asp/2017/1,asp,2017,1,65,56,55,0.8462,OK,
asp/2017/2,asp,2017,1,523,92,67,0.1281,OK,
asp/2017/3,asp,2017,1,8,8,8,1.0000,OK,
asp/2017/4,asp,2017,1,44,19,19,0.4318,OK,
asp/2017/5,asp,2017,1,104,108,104,0.9630,OK,
asp/2017/6,asp,2017,1,244,278,243,0.8741,OK,
asp/2017/7,asp,2017,1,36,40,36,0.9000,OK,
asp/2018/1,asp,2018,1,16,17,16,0.9412,OK,
